Category,Requirement Name,Definition,Davide's Comments,Eric's Comments,Jeremy's Comments
,R-AssociationOfCodeValuesWithExternalDefinitions,Ability to associate a code value with externally managed definition,"* explicit dependency with R-LinksToExternallyManagedDefinitions, R-ForeignKeyReferences and R-ExternalDataDefinitionResource",Recommend Acceptance,Merge with R-LinksToExternallyManagedDefinitions
,R-CsvAsSubsetOfLargerDataset,Ability to assert how a single CSV file is a facet or subset of a larger dataset,*,Recommend Acceptance,Accept
,R-LinksToExternallyManagedDefinitions,Ability to provide (hyper)links to externally managed definitions from with a CSV file,"* explicit dependency with R-AssociationOfCodeValuesWithExternalDefinitions, R-ForeignKeyReferences and R-ExternalDataDefinitionResource
",,Merge with R-AssociationOfCodeValuesWithExternalDefinitions
,R-SyntacticTypeDefinition,Ability to declare syntactic type for data values,*,Recommend Acceptance,Accept
,R-SemanticTypeDefinition,Ability to declare semantic type for data values,*,Recommend Acceptance,Accept
,R-MissingValueDefinition,"Ability to declare a ""missing value"" token and, optionally, a reason for the value to be missing",I think that this requirement is important and should also be incorporated in the tabular data model,Recommend Acceptance,Accept
,R-URIMapping,Ability to map the values of a CSV row/column into corresponding URI (e.g. by concatenating those values with a prefix).,,Recommend Acceptance,Accept
,R-UnitMeasureDefinition,Ability identify/express the unit of measure for the values reported in a given column.,subrequirement of R-SemanticTypeDefinition,Recommend Acceptance,Assert dependency on R-SemanticTypeDefinition
4.2.3 Requirements relating to metadata discovery,R-GroupingOfMultipleTables,Ability to group multiple data tables into a single package for publication,"This requirement is related to R-CsvAsSubsetOfLargerDataset, although I think they are clearly two distinct ones.",Recommend Acceptance,Accept - and agree with the relationship noted by Davide … and they are distinct requirements
4.2.4 Requirements relating to applications,R-CsvValidation,Ability to validate a CSV for conformance with a specified DDR,"This requirement is also related to R-ExternalDataDefinitionResource, but it adds to the functional part.",Recommend Acceptance,Accept
,R-CsvToRdfTransformation,Ability to automatically transform a CSV into RDF,,Recommend removing.  Is this perhaps a best practice as opposed to a requirement?,Retain this requirement - this underpins the function to be able to transform CSV into a different encoding
,R-CsvToJsonTransformation,Ability to automatically transform a CSV into JSON,,Recommend removing.  Is this perhaps a best practice as opposed to a requirement?,Retain this requirement - this underpins the function to be able to transform CSV into a different encoding
,R-CanonicalMappingInLieuOfAnnotation,Ability to transform CSV conforming to the core tabular data model yet lacking further annotation into a object / object graph serialisation,,"This seems to be related to R-CsvToRdfTransformation, R-CsvToJsonTransformation.  If these two are kept does this requirement go away?","This is intended to fulfil the requirement to transform a CSV file (to RDF, JSON or other!) when there is no additional metadata annotation available … retain this requirement"
,R-RandomAccess,Ability to access and/or extract part of a CSV file in a non-sequential manner.,This is a functional requirement that might be useful when handling large CSV files. ,Recommend Acceptance,"I think that this requirement is the same as R-CsvAsSubsetOfLargerDataset and should be merged - if I read it correctly, we are wanting to describe regions of a LARGE dataset so that the content of those regions can be assessed and the data can be accessed by loading just that region (e.g. without needing to load the entire LARGE and/or distributed dataset)?"
4.2.5 Non-functional requirements,R-ZeroEditCompatibility,Compatibility of data analysis tools in common usage with CSV+,"This requirement probably answer my initial question about R-WellFormedCsvCheck. So, one can choose whether to validate a CSV file with respect to CSV+ format, or not. In the latter case, a data analysis tool should be able to use it anyway. Probably, after having checked the CSV conformity via R-WellFormedCsvCheck",Recommend Acceptance,This requirement is an orphan … and I think it provides the same outcome as R-ZeroEditAdditionOfSupplementaryMetadata. Remove this requirement.
,R-ZeroEditAdditionOfSupplementaryMetadata,Ability to add supplementary metadata to an existing CSV file without requiring modification of that file,See above comments,Recommend Acceptance,"Retain this requirement - but include a note that ""as a result of being able to add supplementary metadata without modification of the original CSV file, those CSV files will continue to be compatible with existing tooling"""
