Camborne
Location 1627E 407N 87m amsl
Estimated data is marked with a * after the value.
Missing data (more than 2 days missing in month) is marked by  ---.
Sunshine data taken from an automatic Kipp & Zonen sensor marked with a #, otherwise sunshine data taken from a Campbell Stokes recorder.
   yyyy  mm   tmax    tmin      af    rain     sun
              degC    degC    days      mm   hours
   2010  10   14.7     9.5       0    85.6   148.2#
   2010  11   10.2     5.7       4   164.8    84.8#
   2010  12    6.3     1.4      16    48.1    90.9#
   2011   1    8.1     3.5       9   126.2    83.0#
   2011   2   10.3     6.3       0    90.4    58.5#
   2011   3   10.9     4.8       2    25.8   147.4#
   2011   4   15.0     8.5       0    18.4   239.0#
   2011   5   14.6     9.7       0    34.6   169.8#
   2011   6   15.9    10.7       0    78.2   202.7#
   2011   7   17.6    12.5       0    44.6   175.8#
   2011   8   17.6    12.3       0    51.6   149.4#
   2011   9   17.6    12.7       0    80.2   138.9#
   2011  10   15.5    11.3       0   115.6    92.4#
   2011  11   13.4     9.6       0    63.2    74.6#
   2011  12   10.3     6.7       0   134.0    28.8#
   2012   1    9.9     6.5       0    51.6    55.1#
   2012   2    8.8     4.1       7    36.2    74.7#
   2012   3   11.9     6.9       0    22.8   159.4#
   2012   4   10.7     5.5       0   159.8   153.8#
   2012   5   14.5     8.7       0    45.6   179.3#
   2012   6   15.7    11.0       0   142.0   108.6#
   2012   7   17.3    12.3       0   121.8   174.8#
   2012   8   19.0    14.0       0   142.2   136.3#
   2012   9   16.4    11.2       0    64.6   147.1#
   2012  10   14.0     9.5       0   172.2    91.8#
   2012  11   11.0     6.9       0   167.0    61.9#
   2012  12   10.0     5.9       0   202.0    37.4#
   2013   1    8.9     5.1       2   125.2    50.4#
   2013   2    7.7     3.9       3    49.2    80.2#
   2013   3    7.5     2.8       6   106.8    89.1#
   2013   4   10.3     5.4       1    42.2   160.5#
   2013   5   12.5     7.3       0    87.4   227.2#
   2013   6   15.9    10.7       0    48.2   190.2#
   2013   7   20.8    14.1       0    31.2   278.3#
   2013   8   19.2    14.0       0    87.6   173.3#
   2013   9   17.3    12.4       0    62.0   114.4#
   2013  10   15.8    11.7       0   160.8    76.5#
   2013  11   11.0     6.7       0    94.4    60.1#
   2013  12   10.7     5.9       0   175.6    44.5#
   2014   1   10.0     5.1       0   218.4    43.0#
   2014   2    9.6     4.7       0   190.4    85.1#
   2014   3   10.3     5.7       0    67.0    94.1#
   2014   4   12.3     7.4       0    81.4   154.9#  Provisional
   2014   5   14.5     9.0       0    70.0   183.2#  Provisional
   2014   6   17.8    11.6       0    64.8   265.9#  Provisional
   2014   7   20.3    14.3       0    28.6   204.7#  Provisional
   2014   8   18.6    12.5       0    92.8   200.2#  Provisional
