Transparency Q2 - 01.07.11 to 30.09.11 as at 28.10.11,,,,,
Name,Payment category,Amount,Department,Document no.,Post code
HSBC INVOICE FINANCE (UK) LTD,Looked after children,"£1,110",Children's Services,4500540966,BN11
TOTS NURSERIES,Strategic Costs CSA,"£13,530",Children's Services,3000274018,BN22
TOTS NURSERIES,Strategic Costs GSSG,£679,Children's Services,3000275245,BN22
BIBBY FACTORS SUSSEX LTD,Sussex Downs & Weald PCT,"£1,692",Adult Social Care,4500521405,TN34
BIBBY FACTORS SUSSEX LTD,Sussex Downs & Weald PCT,"£1,692",Adult Social Care,4500527273,TN34
BIBBY FACTORS SUSSEX LTD,Sussex Downs & Weald PCT,"£1,692",Adult Social Care,4500532518,TN34
BIBBY FACTORS SUSSEX LTD,Community Safety,"£12,665",Governance & Community Services,4500535230,TN34
BIBBY FACTORS SUSSEX LTD,Sussex Downs & Weald PCT,"£1,692",Adult Social Care,4500537250,TN34
EDENRED,Personnel & Training,"£1,808",Governance & Community Services,4500531471,CH4 
HASTINGS LOCKSMITHS,Excellence Cluster,"£1,340",Children's Services,4500531863,TN35
SOUTHERN WATER SERVICES,Waste Disposal,"£16,094","Economy, Transport & Environment",4500524768,BN13
SOUTHERN WATER SERVICES,Waste Disposal,"£4,769","Economy, Transport & Environment",4500524918,BN13
SOUTHERN WATER SERVICES,Waste Disposal,"£3,625","Economy, Transport & Environment",4500530005,BN13
SOUTHERN WATER SERVICES,Waste Disposal,"£13,306","Economy, Transport & Environment",4500530007,BN13
SOUTHERN WATER SERVICES,Waste Disposal,"£3,171","Economy, Transport & Environment",4500537032,BN13
SOUTHERN WATER SERVICES,Waste Disposal,"£9,744","Economy, Transport & Environment",4500537132,BN13
SURREY COUNTY COUNCIL,SEN Team,"£3,106",Children's Services,4500530454,KT1 
SURREY COUNTY COUNCIL,SEN Team,"£19,571",Children's Services,4500535541,KT1 
SURREY COUNTY COUNCIL,Planning,"£1,400","Economy, Transport & Environment",4500537460,KT1 
UNIVERSITY OF SUSSEX,Organisational Development,"£2,750",Children's Services,4500532188,BN1 
UNIVERSITY OF SUSSEX,Organisational Development,"£1,030",Children's Services,4500532190,BN1 
UNIVERSITY OF SUSSEX,Organisational Development,£550,Children's Services,4500532192,BN1 
1066 LEGAL SERVICES,Children's Integrated Services Central,£720,Children's Services,4500532805,TN34
A B ELECTRICAL & SECURITY CO LTD,Central GSSG,"£5,881",Children's Services,4500527668,TN35
A B ELECTRICAL & SECURITY CO LTD,Projects,£616,Corporate Resources,4500539466,TN35
ABLAZE BUILDING SOLUTIONS LTD,Facilities Management,"£3,557",Corporate Resources,4500525333,GU16
ABLAZE BUILDING SOLUTIONS LTD,Facilities Management,"£19,087",Corporate Resources,4500527031,GU16
ABLAZE BUILDING SOLUTIONS LTD,Facilities Management,"£4,447",Corporate Resources,4500528519,GU16
ABLAZE BUILDING SOLUTIONS LTD,Facilities Management,"£1,596",Corporate Resources,4500528571,GU16
ABLAZE BUILDING SOLUTIONS LTD,Facilities Management,"£13,365",Corporate Resources,4500528573,GU16
ABLAZE BUILDING SOLUTIONS LTD,Projects,"£2,403",Corporate Resources,4500532978,GU16
ABLAZE BUILDING SOLUTIONS LTD,Projects,"£5,154",Corporate Resources,4500536172,GU16
ABLAZE BUILDING SOLUTIONS LTD,Facilities Management,"£1,633",Corporate Resources,4500538404,GU16
ACAD MAPPING,Non Service Specific Budgets,"£3,510",Corporate Resources,4500536912,TN6 
ACKERMAN MUSIC LTD,East Sussex Music Service,"£8,640",Children's Services,4500526464,BN3 
ACKERMAN MUSIC LTD,East Sussex Music Service,"£1,250",Children's Services,4500531082,BN3 
ADAMS JOHNS KENNARD LTD,Projects,£720,Corporate Resources,4500528683,TN33
ADAMS JOHNS KENNARD LTD,Projects,£513,Corporate Resources,4500528715,TN33
ADAMS JOHNS KENNARD LTD,Projects,"£1,627",Corporate Resources,4500531095,TN33
ADAMS JOHNS KENNARD LTD,Corporate Resources Department,"£2,016",Corporate Resources,4500531281,TN33
ADAMS JOHNS KENNARD LTD,Projects,£525,Corporate Resources,4500531284,TN33
ADAMS JOHNS KENNARD LTD,Projects,£619,Corporate Resources,4500531290,TN33
ADAMS JOHNS KENNARD LTD,Projects,"£1,908",Corporate Resources,4500535737,TN33
ADAMS JOHNS KENNARD LTD,Projects,"£3,195",Corporate Resources,4500535738,TN33
ADAMS JOHNS KENNARD LTD,Projects,"£1,839",Corporate Resources,4500536107,TN33
AIRPORTS-SEAPORTS TAXIS,Education HTS Transport,"£1,056","Economy, Transport & Environment",7000778583,BN25
AIRPORTS-SEAPORTS TAXIS,Education HTS Transport,"£1,056","Economy, Transport & Environment",7000782537,BN25
ALL GROUNDCARE SERVICES,Contracts,£534,Children's Services,4500538501,BN9 
ANGEL DESIGN PARTNERSHIP LTD,High Weald AONB Unit,"£2,400","Economy, Transport & Environment",4500532784,TN37
APETITO LTD,"Hastings, Bexhill & Rother PCT","£3,782",Adult Social Care,3000271120,BN27
APETITO LTD,Sussex Downs & Weald PCT,"£1,609",Adult Social Care,3000271393,BN27
APETITO LTD,"Hastings, Bexhill & Rother PCT","£3,763",Adult Social Care,3000272442,BN27
APETITO LTD,Sussex Downs & Weald PCT,"£1,648",Adult Social Care,3000272990,BN27
APETITO LTD,"Hastings, Bexhill & Rother PCT","£3,430",Adult Social Care,3000273722,BN27
APETITO LTD,Sussex Downs & Weald PCT,"£1,306",Adult Social Care,3000273738,BN27
APETITO LTD,Sussex Downs & Weald PCT,£854,Adult Social Care,3000274758,BN27
APETITO LTD,Sussex Downs & Weald PCT,"£1,115",Adult Social Care,3000274759,BN27
APPLEBY PETFIELD,Trading Standards,"£2,376",Governance & Community Services,4500536131,TN21
ING CAR LEASE,Fleet Management,"£3,441","Economy, Transport & Environment",4500523266,LS10
ING CAR LEASE,Fleet Management,"£3,441","Economy, Transport & Environment",4500523285,LS10
ING CAR LEASE,Fleet Management,"£2,049","Economy, Transport & Environment",4500524919,LS10
ING CAR LEASE,Fleet Management,"£2,131","Economy, Transport & Environment",4500524922,LS10
ING CAR LEASE,Fleet Management,"£3,097","Economy, Transport & Environment",4500524923,LS10
ING CAR LEASE,Fleet Management,"£4,597","Economy, Transport & Environment",4500524924,LS10
ING CAR LEASE,Fleet Management,"£2,049","Economy, Transport & Environment",4500524927,LS10
ING CAR LEASE,Fleet Management,"£3,415","Economy, Transport & Environment",4500526656,LS10
ING CAR LEASE,Fleet Management,"£3,051","Economy, Transport & Environment",4500527547,LS10
ING CAR LEASE,Fleet Management,"£2,390","Economy, Transport & Environment",4500530316,LS10
ING CAR LEASE,Fleet Management,"£4,212","Economy, Transport & Environment",4500530318,LS10
ING CAR LEASE,Fleet Management,"£2,937","Economy, Transport & Environment",4500530321,LS10
ING CAR LEASE,Fleet Management,"£2,049","Economy, Transport & Environment",4500530330,LS10
ING CAR LEASE,Fleet Management,£619,"Economy, Transport & Environment",4500530999,LS10
ING CAR LEASE,Fleet Management,"£4,177","Economy, Transport & Environment",4500533959,LS10
ING CAR LEASE,Fleet Management,"£3,876","Economy, Transport & Environment",4500533961,LS10
ING CAR LEASE,Fleet Management,"£3,793","Economy, Transport & Environment",4500533984,LS10
ING CAR LEASE,Fleet Management,"£3,918","Economy, Transport & Environment",4500533989,LS10
ING CAR LEASE,Fleet Management,"£2,822","Economy, Transport & Environment",4500533990,LS10
ING CAR LEASE,Fleet Management,"£1,287","Economy, Transport & Environment",4500534267,LS10
ING CAR LEASE,Fleet Management,"£2,626","Economy, Transport & Environment",4500536283,LS10
ING CAR LEASE,Fleet Management,"£4,840","Economy, Transport & Environment",4500537795,LS10
ARCOOL LTD,School Meals,£829,Children's Services,4500535597,TN35
ARCOOL LTD,School Meals,"£1,803",Children's Services,4500540371,TN35
ARGOS BUSINESS SOLUTIONS,Children's Homes,£784,Adult Social Care,4500535821,MK9 
ARGOS BUSINESS SOLUTIONS,Children's Homes,£821,Adult Social Care,4500536818,MK9 
ARNOLD CLARK FINANCE LTD,Fleet Management,"£1,083","Economy, Transport & Environment",4500524783,G3 6
ARNOLD CLARK FINANCE LTD,Fleet Management,"£2,650","Economy, Transport & Environment",4500526600,G3 6
ARNOLD CLARK FINANCE LTD,Fleet Management,"£2,390","Economy, Transport & Environment",4500526633,G3 6
ARNOLD CLARK FINANCE LTD,Fleet Management,"£1,743","Economy, Transport & Environment",4500526664,G3 6
ARNOLD CLARK FINANCE LTD,Fleet Management,"£1,088","Economy, Transport & Environment",4500530026,G3 6
ARNOLD CLARK FINANCE LTD,Fleet Management,"£2,405","Economy, Transport & Environment",4500532940,G3 6
ARNOLD CLARK FINANCE LTD,Fleet Management,"£6,975","Economy, Transport & Environment",4500536282,G3 6
ARNOLDS OF LEWES,East Sussex Music Service,£792,Children's Services,4500533853,BN7 
OVE ARUP & PARTNERS LTD,Projects,"£15,546",Corporate Resources,4500525922,W1T 
OVE ARUP & PARTNERS LTD,Projects,"£19,586",Corporate Resources,4500536717,W1T 
OVE ARUP & PARTNERS LTD,Projects,"£22,962",Corporate Resources,4500539574,W1T 
ASKEWS LIBRARY SERVICES,Libraries,£538,Governance & Community Services,7000784323,PR1 
ASTEX-TESTER TRAVEL,Education HTS Transport,"£3,033","Economy, Transport & Environment",7000779725,BN21
ASTEX-TESTER TRAVEL,Education HTS Transport,"£2,185","Economy, Transport & Environment",7000779726,BN21
ASTEX-TESTER TRAVEL,Education HTS Transport,"£1,488","Economy, Transport & Environment",7000779727,BN21
ASTEX-TESTER TRAVEL,Education HTS Transport,"£1,824","Economy, Transport & Environment",7000779728,BN21
ASTEX-TESTER TRAVEL,Education HTS Transport,"£2,506","Economy, Transport & Environment",7000779729,BN21
ASTEX-TESTER TRAVEL,Education HTS Transport,"£2,805","Economy, Transport & Environment",7000779730,BN21
ASTEX-TESTER TRAVEL,Education HTS Transport,"£1,428","Economy, Transport & Environment",7000779731,BN21
ASTEX-TESTER TRAVEL,Education HTS Transport,"£1,632","Economy, Transport & Environment",7000781212,BN21
ASTEX-TESTER TRAVEL,Education HTS Transport,"£3,949","Economy, Transport & Environment",7000781261,BN21
ASTEX-TESTER TRAVEL,Education HTS Transport,"£3,628","Economy, Transport & Environment",7000782547,BN21
ASTEX-TESTER TRAVEL,Education HTS Transport,"£1,440","Economy, Transport & Environment",7000782548,BN21
ASTEX-TESTER TRAVEL,Education HTS Transport,"£2,694","Economy, Transport & Environment",7000782549,BN21
ASTEX-TESTER TRAVEL,Education HTS Transport,"£2,056","Economy, Transport & Environment",7000782550,BN21
ASTEX-TESTER TRAVEL,Education HTS Transport,"£1,536","Economy, Transport & Environment",7000782551,BN21
ASTEX-TESTER TRAVEL,Education HTS Transport,"£1,440","Economy, Transport & Environment",7000782552,BN21
ASTEX-TESTER TRAVEL,Education HTS Transport,"£2,088","Economy, Transport & Environment",7000782553,BN21
ASTEX-TESTER TRAVEL,Education HTS Transport,"£2,475","Economy, Transport & Environment",7000782554,BN21
ASTEX-TESTER TRAVEL,Education HTS Transport,"£1,260","Economy, Transport & Environment",7000782555,BN21
ATLAS TRAVEL,Education HTS Transport,"£1,080","Economy, Transport & Environment",7000778350,TN39
ATLAS TRAVEL,Education HTS Transport,"£1,840","Economy, Transport & Environment",7000778351,TN39
ATLAS TRAVEL,Education HTS Transport,£684,"Economy, Transport & Environment",7000778352,TN39
ATLAS TRAVEL,Education HTS Transport,"£1,551","Economy, Transport & Environment",7000782584,TN39
ATLAS TRAVEL,Education HTS Transport,£620,"Economy, Transport & Environment",7000784497,TN39
AUTOMOTIVE LEASING,Fleet Management,"£5,536","Economy, Transport & Environment",4500526594,SL1 
BAAF,Adoption Services,£521,Children's Services,4500532080,EC1N
BALCOMBE ESTATE,Rights of Way/ Countryside Management,"£1,293","Economy, Transport & Environment",4500523198,RH17
BALCOMBE ESTATE,Rights of Way/ Countryside Management,"£1,147","Economy, Transport & Environment",4500538926,RH17
BARCOMBE FORESTRY,Head Office,"£1,896","Economy, Transport & Environment",4500535723,BN8 
BARNSGATE MANOR VINEYARD,Personnel,£766,Children's Services,4500525367,TN22
BARNSGATE MANOR VINEYARD,Fostering Services,£805,Children's Services,4500527990,TN22
BARNSGATE MANOR VINEYARD,Educational Psychological service,"£2,177",Children's Services,4500530851,TN22
BATTLE AREA COMMUNITY TRANSPORT,Passenger Services,£942,"Economy, Transport & Environment",3000270749,TN33
BATTLE AREA COMMUNITY TRANSPORT,Passenger Services,£942,"Economy, Transport & Environment",3000270820,TN33
BATTLE AREA COMMUNITY TRANSPORT,Passenger Services,£676,"Economy, Transport & Environment",3000275103,TN33
BATTLE AREA COMMUNITY TRANSPORT,Passenger Services,£997,"Economy, Transport & Environment",3000275141,TN33
BATTLE AREA COMMUNITY TRANSPORT,Passenger Services,"£1,018","Economy, Transport & Environment",7000778608,TN33
BATTLE AREA COMMUNITY TRANSPORT,Passenger Services,"£1,222","Economy, Transport & Environment",7000781374,TN33
BATTLE AREA COMMUNITY TRANSPORT,Passenger Services,"£1,018","Economy, Transport & Environment",7000786003,TN33
BEACON TAXIS,Eastbourne Downs PCT,£704,Adult Social Care,3000270619,BN25
BEACON TAXIS,Eastbourne Downs PCT,£667,Adult Social Care,3000271005,BN25
BEACON TAXIS,Eastbourne Downs PCT,£715,Adult Social Care,3000271449,BN25
BEACON TAXIS,Eastbourne Downs PCT,£695,Adult Social Care,3000271604,BN25
BEACON TAXIS,Eastbourne Downs PCT,£672,Adult Social Care,3000271605,BN25
BEACON TAXIS,Eastbourne Downs PCT,£701,Adult Social Care,3000272024,BN25
BEACON TAXIS,Eastbourne Downs PCT,£549,Adult Social Care,3000272797,BN25
BEACON TAXIS,Eastbourne Downs PCT,£538,Adult Social Care,3000273207,BN25
BEACON TAXIS,Eastbourne Downs PCT,£545,Adult Social Care,3000273731,BN25
BEACON TAXIS,Eastbourne Downs PCT,£570,Adult Social Care,3000274009,BN25
BEACON TAXIS,Eastbourne Downs PCT,£577,Adult Social Care,3000274688,BN25
BEACON TAXIS,Eastbourne Downs PCT,£548,Adult Social Care,3000274689,BN25
BEACON TAXIS,Eastbourne Downs PCT,£575,Adult Social Care,3000275084,BN25
BEACON TAXIS,Education HTS Transport,"£2,335","Economy, Transport & Environment",7000779741,BN25
BEACON TAXIS,Education HTS Transport,"£1,805","Economy, Transport & Environment",7000783184,BN25
BEELINE TRAVEL,Education HTS Transport,"£4,670","Economy, Transport & Environment",7000779746,BN22
BEELINE TRAVEL,Education HTS Transport,"£3,194","Economy, Transport & Environment",7000779747,BN22
BEELINE TRAVEL,Education HTS Transport,"£3,194","Economy, Transport & Environment",7000779748,BN22
BEELINE TRAVEL,Education HTS Transport,"£3,393","Economy, Transport & Environment",7000779749,BN22
BEELINE TRAVEL,Education HTS Transport,"£2,824","Economy, Transport & Environment",7000779750,BN22
BEELINE TRAVEL,Education HTS Transport,"£1,944","Economy, Transport & Environment",7000779751,BN22
BEELINE TRAVEL,Education HTS Transport,"£2,534","Economy, Transport & Environment",7000779752,BN22
BEELINE TRAVEL,Education HTS Transport,"£3,328","Economy, Transport & Environment",7000781269,BN22
BEELINE TRAVEL,Education HTS Transport,"£3,933","Economy, Transport & Environment",7000784272,BN22
BEELINE TRAVEL,Education HTS Transport,"£2,689","Economy, Transport & Environment",7000784273,BN22
BEELINE TRAVEL,Education HTS Transport,"£2,689","Economy, Transport & Environment",7000784274,BN22
BEELINE TRAVEL,Education HTS Transport,"£2,857","Economy, Transport & Environment",7000784275,BN22
BEELINE TRAVEL,Education HTS Transport,"£2,081","Economy, Transport & Environment",7000784276,BN22
BEELINE TRAVEL,Education HTS Transport,"£2,112","Economy, Transport & Environment",7000784277,BN22
BEELINE TRAVEL,Education HTS Transport,"£2,758","Economy, Transport & Environment",7000784278,BN22
BEELINE TRAVEL,Education HTS Transport,"£1,601","Economy, Transport & Environment",7000784764,BN22
BEXHILL COMMUNITY BUS LTD,Passenger Services,"£1,831","Economy, Transport & Environment",3000270751,TN39
BEXHILL COMMUNITY BUS LTD,Passenger Services,"£1,831","Economy, Transport & Environment",3000270821,TN39
BEXHILL COMMUNITY BUS LTD,Passenger Services,£766,"Economy, Transport & Environment",3000275104,TN39
BEXHILL COMMUNITY BUS LTD,Passenger Services,"£1,785","Economy, Transport & Environment",3000275142,TN39
BRIGHTON & HOVE BUS & COACH CO LTD,Admissions & Transport,£633,Children's Services,3000270590,BN3 
BRIGHTON & HOVE BUS & COACH CO LTD,Passenger Services,"£108,255","Economy, Transport & Environment",3000270752,BN3 
BRIGHTON & HOVE BUS & COACH CO LTD,Passenger Services,"£108,255","Economy, Transport & Environment",3000270822,BN3 
BRIGHTON & HOVE BUS & COACH CO LTD,Concessionary Fares Scheme,"£95,920","Economy, Transport & Environment",3000271061,BN3 
BRIGHTON & HOVE BUS & COACH CO LTD,Admissions & Transport,£507,Children's Services,3000271298,BN3 
BRIGHTON & HOVE BUS & COACH CO LTD,Passenger Services,"£39,167","Economy, Transport & Environment",3000275105,BN3 
BRIGHTON & HOVE BUS & COACH CO LTD,Passenger Services,"£98,756","Economy, Transport & Environment",3000275143,BN3 
BRIGHTON & HOVE BUS & COACH CO LTD,Parking,"£14,850","Economy, Transport & Environment",4500534433,BN3 
BRIGHTON & HOVE BUS & COACH CO LTD,Parking,"£10,346","Economy, Transport & Environment",4500538701,BN3 
BRIGHTON & HOVE BUS & COACH CO LTD,Passenger Services,"£9,855","Economy, Transport & Environment",7000774181,BN3 
BRIGHTON & HOVE BUS & COACH CO LTD,Passenger Services,"£11,055","Economy, Transport & Environment",7000780195,BN3 
BRIGHTON & HOVE BUS & COACH CO LTD,Passenger Services,"£8,582","Economy, Transport & Environment",7000788494,BN3 
BRIGHTON & HOVE RADIO CABS LTD,Traveller Education Service,"£1,193",Children's Services,4500531051,BN1 
BRIGHTON & HOVE RADIO CABS LTD,Traveller Education Service,£611,Children's Services,4500535436,BN1 
BROWNE JACOBSON LLP,Insurance,"£1,962",Corporate Resources,4500528092,NG1 
BRUTON KNOWLES,Property Services,"£2,700",Adult Social Care,4500537568,GU2 
BUCHANAN COMPUTING LTD,Parking,"£3,677","Economy, Transport & Environment",4500534097,W6 7
BUXTED PARK HOTEL,Policy & Communications,"£3,140",Governance & Community Services,4500529846,TN22
C T I DATA SOLUTIONS LTD,Next Generation Network (NGN),"£3,012",Corporate Resources,4500528344,CR8 
CANNON HYGIENE LTD,Central GSSG,£906,Children's Services,4500524869,LA3 
CANNON HYGIENE LTD,Central GSSG,£630,Children's Services,4500524887,LA3 
CANNON HYGIENE LTD,Central GSSG,£551,Children's Services,4500531609,LA3 
CANON (UK) LTD,Corporate Services,"£1,019","Economy, Transport & Environment",3000269375,RH2 
CAPITAL CLEANING,Projects,"£4,370",Children's Services,4500527620,BN11
CAPITAL CLEANING,Projects,£690,Children's Services,4500527622,BN11
CAPITAL CLEANING,Projects,£660,Children's Services,4500528421,BN11
CAPITAL CLEANING,Projects,"£3,118",Children's Services,4500530137,BN11
CAPITAL CLEANING,Projects,£534,Children's Services,4500530139,BN11
CAPITAL CLEANING,Projects,£745,Corporate Resources,4500533259,BN11
CAPITAL CLEANING,Projects,£572,Corporate Resources,4500533311,BN11
CAPITAL CLEANING,Projects,£738,Corporate Resources,4500534534,BN11
CAPITAL CLEANING,Projects,£727,Corporate Resources,4500535098,BN11
CAPITAL CLEANING,Projects,£749,Corporate Resources,4500535192,BN11
CAPITAL CLEANING,Projects,£674,Corporate Resources,4500535943,BN11
CAPITAL CLEANING,Projects,£736,Corporate Resources,4500536461,BN11
CAPITAL CLEANING,Projects,£708,Corporate Resources,4500536571,BN11
CAPITAL CLEANING,Projects,£813,Corporate Resources,4500536576,BN11
CAPITAL CLEANING,Projects,"£2,673",Corporate Resources,4500541027,BN11
CARE TRAVEL SERVICES,Disability Services,£750,Adult Social Care,3000274764,TN40
CARE TRAVEL SERVICES,Education HTS Transport,"£1,458","Economy, Transport & Environment",7000779720,TN40
CARE TRAVEL SERVICES,Education HTS Transport,"£3,060","Economy, Transport & Environment",7000779721,TN40
CARE TRAVEL SERVICES,Education HTS Transport,"£1,134","Economy, Transport & Environment",7000782532,TN40
CARE TRAVEL SERVICES,Education HTS Transport,"£2,550","Economy, Transport & Environment",7000782533,TN40
CAROLE GROUP LTD,Rights of Way/ Countryside Management,"£1,113","Economy, Transport & Environment",4500535984,RG41
CAVENDISH COMMUNICATIONS,Projects,£901,Corporate Resources,4500526206,BN9 
CAVENDISH COMMUNICATIONS,"Premises, Supplies & Services",£509,Children's Services,4500532673,BN9 
CAVENDISH COMMUNICATIONS,Property Services,£564,Adult Social Care,4500532790,BN9 
CAVENDISH COMMUNICATIONS,Projects,"£1,904",Corporate Resources,4500535122,BN9 
CAVENDISH COMMUNICATIONS,Projects,"£1,314",Corporate Resources,4500536285,BN9 
CAVENDISH COMMUNICATIONS,Projects,"£1,950",Corporate Resources,4500537412,BN9 
CAVENDISH COMMUNICATIONS,Projects,£684,Corporate Resources,4500539469,BN9 
CAVENDISH COMMUNICATIONS,Projects,"£3,619",Corporate Resources,4500540075,BN9 
CAVENDISH COMMUNICATIONS,Projects,£889,Corporate Resources,4500540817,BN9 
CAVENDISH HOTEL (EASTBOURNE) LTD,Safeguarding,"£2,800",Children's Services,4500527108,BN21
CENTRAL LAW TRAINING,Admissions & Transport,"£2,415",Children's Services,4500526499,B72 
CENTRAL LAW TRAINING,Legal & Democratic,"£4,200",Governance & Community Services,4500531474,B72 
CENTRE CABS (NEWHAVEN),Education HTS Transport,"£1,489","Economy, Transport & Environment",7000781560,BN9 
CENTRE CABS (NEWHAVEN),Education HTS Transport,"£1,733","Economy, Transport & Environment",7000781563,BN9 
CENTRE CABS (NEWHAVEN),Education HTS Transport,"£1,247","Economy, Transport & Environment",7000781564,BN9 
CENTRE CABS (NEWHAVEN),Education HTS Transport,"£1,771","Economy, Transport & Environment",7000781565,BN9 
CENTRE CABS (NEWHAVEN),Education HTS Transport,"£1,243","Economy, Transport & Environment",7000781566,BN9 
CENTRE CABS (NEWHAVEN),Education HTS Transport,"£1,064","Economy, Transport & Environment",7000781567,BN9 
CENTRE CABS (NEWHAVEN),Education HTS Transport,£957,"Economy, Transport & Environment",7000783187,BN9 
CENTRE CABS (NEWHAVEN),Education HTS Transport,"£1,406","Economy, Transport & Environment",7000783188,BN9 
CENTRE CABS (NEWHAVEN),Education HTS Transport,£957,"Economy, Transport & Environment",7000785646,BN9 
CENTRE CABS (NEWHAVEN),Education HTS Transport,"£1,489","Economy, Transport & Environment",7000785647,BN9 
CENTRE CABS (NEWHAVEN),Education HTS Transport,"£1,406","Economy, Transport & Environment",7000785648,BN9 
CENTRE CABS (NEWHAVEN),Education HTS Transport,"£1,324","Economy, Transport & Environment",7000785837,BN9 
CENTRE CABS (NEWHAVEN),Education HTS Transport,£692,"Economy, Transport & Environment",7000785839,BN9 
CENTRE CABS (NEWHAVEN),Education HTS Transport,"£1,368","Economy, Transport & Environment",7000785840,BN9 
CENTRE CABS (NEWHAVEN),Education HTS Transport,"£1,039","Economy, Transport & Environment",7000785841,BN9 
CENTRE CABS (NEWHAVEN),Education HTS Transport,"£1,476","Economy, Transport & Environment",7000785842,BN9 
CENTRE CABS (NEWHAVEN),Education HTS Transport,"£1,008","Economy, Transport & Environment",7000785843,BN9 
CENTRE CABS (NEWHAVEN),Education HTS Transport,£840,"Economy, Transport & Environment",7000785844,BN9 
CENTRE CABS (NEWHAVEN),Education HTS Transport,"£1,241","Economy, Transport & Environment",7000791238,BN9 
CHALLENGE PACKAGING LTD,Archives & Records,"£3,298",Governance & Community Services,4500532092,TN22
CHARIOTS,Education HTS Transport,"£3,876","Economy, Transport & Environment",7000778325,BN8 
CHARIOTS,Education HTS Transport,"£2,559","Economy, Transport & Environment",7000778326,BN8 
CHARIOTS,Education HTS Transport,"£1,919","Economy, Transport & Environment",7000782539,BN8 
CHARIOTS,Education HTS Transport,"£3,060","Economy, Transport & Environment",7000783172,BN8 
