Category,Requirement Name,Definition,Davide's Comments,Eric's Comments,Jeremy's Comments
,R-AssociationOfCodeValuesWithExternalDefinitions,Ability to associate a code value with externally managed definition,"* explicit dependency with R-LinksToExternallyManagedDefinitions, R-ForeignKeyReferences and R-ExternalDataDefinitionResource",Recommend Acceptance,Merge with R-LinksToExternallyManagedDefinitions
,R-CsvAsSubsetOfLargerDataset,Ability to assert how a single CSV file is a facet or subset of a larger dataset,*,Recommend Acceptance,Accept
,R-SyntacticTypeDefinition,Ability to declare syntactic type for data values,*,Recommend Acceptance,Accept
,R-SemanticTypeDefinition,Ability to declare semantic type for data values,*,Recommend Acceptance,Accept
,R-MissingValueDefinition,"Ability to declare a ""missing value"" token and, optionally, a reason for the value to be missing",I think that this requirement is important and should also be incorporated in the tabular data model,Recommend Acceptance,Accept
,R-URIMapping,Ability to map the values of a CSV row/column into corresponding URI (e.g. by concatenating those values with a prefix).,,Recommend Acceptance,Accept
,R-UnitMeasureDefinition,Ability identify/express the unit of measure for the values reported in a given column.,subrequirement of R-SemanticTypeDefinition,Recommend Acceptance,Assert dependency on R-SemanticTypeDefinition
,R-GroupingOfMultipleTables,Ability to group multiple data tables into a single package for publication,"This requirement is related to R-CsvAsSubsetOfLargerDataset, although I think they are clearly two distinct ones.",Recommend Acceptance,Accept - and agree with the relationship noted by Davide … and they are distinct requirements
,R-LinkFromMetadataToData,Ability for a metadata description to explicitly cite the tabular dataset it describes,New,New,New
,R-MultilingualContent,Ability to declare a locale / language for content in a specified column,New,New,New
,R-ListsAsRepeatedFields,Ability to provide multiple values for a given property within a single row using repeated columns,New,New,New
3.3 Deferred requirements,R-MultipleHeadingRows,"Ability to handle headings spread across multiple initial rows, as well as to distinguish between single column headings and file headings.","Related to the requirement above, the header column count andheader row count parameters of the tabular data format should fit this need, so I propose to merge these requirements with the first one (R-WellFormedCsvCheck), unless these really need to be treated separately.",Recommend Acceptance,Agree with merge.
,R-RandomAccess,Ability to access and/or extract part of a CSV file in a non-sequential manner.,This is a functional requirement that might be useful when handling large CSV files. ,Recommend Acceptance,"I think that this requirement is the same as R-CsvAsSubsetOfLargerDataset and should be merged - if I read it correctly, we are wanting to describe regions of a LARGE dataset so that the content of those regions can be assessed and the data can be accessed by loading just that region (e.g. without needing to load the entire LARGE and/or distributed dataset)?"
,R-TableNormalization,Ability to normalize data that is not in normal form and possibly vice-versa.,"I'm dubious about this requirement. It is important to be able to normalize/denormalize tables, and to find correspondences between normalized and denormalized tables. However, I wonder whether this is a requirement of the CSV itself or, rather, of the software demanded to handle it.","This requirement is referenced in 3.13 Use Case #13 - Representing Entities and Facts Extracted From Text.  I recommend the requirement name changed to ""R-TableRowsWithNullCellValues"".  I also recommend the definition as ""Ability to treat tables with irregular numbers of cells as appended with null values""","I think that this(use case #13) is an example where we have a ""not well-formed"" CSV file that needs to be ""normalised"" such that it is well-formed before any transformation can be applied. Personally, I think that the requirement itself is valid (e.g. the conversion to a well-formed CSV) - but, as Davide says, that this is something that is outside the scope of ""CSV"" itself."
